,valid_from,valid_to,spot_price,spot_price_without_vat,tariff,fixed_price,import_fee,purchase_price,export_fee,sell_price
2025-01-01 00:00:00+01:00,2024-12-31 23:00:00+00:00,2025-01-01 00:00:00+00:00,0.023716615000000003,0.018973292000000003,0.122,0.0,0.8999999999999999,1.045716615,0.05,-0.031026708
2025-01-01 01:00:00+01:00,2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,0.0180208925,0.014416713999999999,0.122,0.0,0.8999999999999999,1.0400208925,0.05,-0.035583286000000006
2025-01-01 02:00:00+01:00,2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,0.0180208925,0.014416713999999999,0.122,0.0,0.8999999999999999,1.0400208925,0.05,-0.035583286000000006
2025-01-01 03:00:00+01:00,2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,0.013352267499999999,0.010681814,0.122,0.0,0.8999999999999999,1.0353522675,0.05,-0.039318186000000005
2025-01-01 04:00:00+01:00,2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,0.009710740000000002,0.007768592000000001,0.122,0.0,0.8999999999999999,1.03171074,0.05,-0.042231408
2025-01-01 05:00:00+01:00,2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,0.02128893,0.017031144,0.122,0.0,0.8999999999999999,1.0432889300000001,0.05,-0.032968856000000005
2025-01-01 06:00:00+01:00,2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,0.0107378375,0.00859027,0.3661,0.0,0.8999999999999999,1.2768378375,0.05,-0.041409730000000006
2025-01-01 07:00:00+01:00,2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,0.012605287500000001,0.010084230000000001,0.3661,0.0,0.8999999999999999,1.2787052874999998,0.05,-0.03991577
2025-01-01 08:00:00+01:00,2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,0.021102185,0.016881748,0.3661,0.0,0.8999999999999999,1.287202185,0.05,-0.033118252
2025-01-01 09:00:00+01:00,2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,0.023716615000000003,0.018973292000000003,0.3661,0.0,0.8999999999999999,1.2898166149999999,0.05,-0.031026708
2025-01-01 10:00:00+01:00,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,0.033053865,0.026443092,0.3661,0.0,0.8999999999999999,1.299153865,0.05,-0.023556908
2025-01-01 11:00:00+01:00,2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,0.034547825000000004,0.02763826,0.3661,0.0,0.8999999999999999,1.300647825,0.05,-0.02236174
2025-01-01 12:00:00+01:00,2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,0.035014687499999995,0.02801175,0.3661,0.0,0.8999999999999999,1.3011146875,0.05,-0.021988250000000004
2025-01-01 13:00:00+01:00,2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,0.0355749225,0.028459938,0.3661,0.0,0.8999999999999999,1.3016749225,0.05,-0.021540062000000002
2025-01-01 14:00:00+01:00,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,0.050141032499999995,0.040112826,0.3661,0.0,0.8999999999999999,1.3162410324999998,0.05,-0.009887174000000006
2025-01-01 15:00:00+01:00,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,0.11466143,0.091729144,0.3661,0.0,0.8999999999999999,1.3807614299999997,0.05,0.041729143999999996
2025-01-01 16:00:00+01:00,2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,0.18114264999999996,0.14491411999999998,0.3661,0.0,0.8999999999999999,1.44724265,0.05,0.09491411999999998
2025-01-01 17:00:00+01:00,2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,0.2019647175,0.161571774,1.0985,0.0,0.8999999999999999,2.2004647175,0.05,0.111571774
2025-01-01 18:00:00+01:00,2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,0.1590133675,0.127210694,1.0985,0.0,0.8999999999999999,2.1575133675,0.05,0.07721069400000001
2025-01-01 19:00:00+01:00,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,0.0945863425,0.075669074,1.0985,0.0,0.8999999999999999,2.0930863425000004,0.05,0.025669074
2025-01-01 20:00:00+01:00,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,0.074698,0.0597584,1.0985,0.0,0.8999999999999999,2.073198,0.05,0.0097584
2025-01-01 21:00:00+01:00,2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,0.06283969250000002,0.05027175400000001,0.3661,0.0,0.8999999999999999,1.3289396924999999,0.05,0.000271754000000006
2025-01-01 22:00:00+01:00,2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,0.09187854000000001,0.073502832,0.3661,0.0,0.8999999999999999,1.35797854,0.05,0.023502832
2025-01-01 23:00:00+01:00,2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,0.0654541225,0.052363298,0.3661,0.0,0.8999999999999999,1.3315541225,0.05,0.002363298
2025-01-02 00:00:00+01:00,2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,0.02651779,0.021214232,0.122,0.0,0.8999999999999999,1.04851779,0.05,-0.028785768000000003
2025-01-02 01:00:00+01:00,2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,0.025210575000000002,0.020168460000000003,0.122,0.0,0.8999999999999999,1.047210575,0.05,-0.02983154
